txn_date,amount,reference,narration,type
2024-01-05,-50000.00,NEFT/2024/001,RENT PAYMENT TO KAPOOR PROPERTIES,DEBIT
2024-01-07,-12500.00,UPI/2024/101,AMZN MKTP IN,DEBIT
2024-01-08,250000.00,NEFT/2024/002,SAL JAN 2024 ACME CORP,CREDIT
2024-01-10,-3200.00,UPI/2024/102,SWIGGY ORDER 88412,DEBIT
2024-01-10,-1500.00,ATM/2024/001,ATM WDL SADAR NAGPUR,DEBIT
2024-01-12,-8400.00,NEFT/2024/003,ELECTRICITY BILL MSEDCL,DEBIT
2024-01-15,-22000.00,CHQ/2024/001,INSURANCE PREMIUM LIC,DEBIT
2024-01-18,-4500.00,UPI/2024/103,ZOMATO ORDER,DEBIT
2024-01-20,15000.00,NEFT/2024/004,FREELANCE PAYMENT TECHSOL,CREDIT
2024-01-22,-6700.00,UPI/2024/104,FLIPKART SELLER HUB,DEBIT
2024-01-25,-2100.00,UPI/2024/105,PHARMEASY MED ORDER,DEBIT
2024-01-28,-35000.00,NEFT/2024/005,EMI HOME LOAN HDFC,DEBIT
2024-01-30,5000.00,UPI/2024/106,REFUND AMAZON IN,CREDIT
2024-01-31,-950.00,UPI/2024/107,NETFLIX SUBSCRIPTION,DEBIT
