entry_date,amount,voucher_no,party_name,gl_code,description
2024-01-05,-50000.00,NEFT/2024/001,Kapoor Properties,4100,Rent - January 2024
2024-01-06,-12500.00,UPI/2024/101,Amazon India,4200,Office Supplies
2024-01-08,250000.00,NEFT/2024/002,Acme Corp,3100,Salary January
2024-01-10,-3200.00,UPI/2024/102,Swiggy,4300,Business Meals
2024-01-10,-1500.00,ATM/2024/001,Cash Withdrawal,1200,Petty Cash
2024-01-14,-8400.00,NEFT/2024/003,MSEDCL,4400,Electricity Bill
2024-01-15,-22000.00,CHQ/2024/001,LIC of India,4500,Insurance Premium
2024-01-18,-4500.00,UPI/2024/103,Zomato,4300,Business Meals
2024-01-21,15000.00,NEFT/2024/004,TechSol Solutions,3200,Freelance Income
2024-01-22,-6700.00,UPI/2024/104,Flipkart,4200,Office Equipment
2024-01-25,-2100.00,VCH/2024/010,PharmEasy,4600,Medical Expenses
2024-01-28,-35000.00,NEFT/2024/005,HDFC Bank,4700,Home Loan EMI
2024-01-30,5000.00,UPI/2024/106,Amazon India,3300,Refund
2024-01-31,-950.00,VCH/2024/011,Netflix,4800,Subscriptions
2024-01-20,-7800.00,VCH/2024/012,Office Depot,4200,Stationery Purchase
